X,Y,Type,Date,Descriptions,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType
19120.2189975975,33733.6210236237,Accident,1/2/2018,Accident on AYE (towards MCE) after Jurong Town Hall Entrance.,CL,CLEMENTI,WR,WEST REGION,expressway
26449.3104520541,41790.5200504704,Accident,1/2/2018,Accident on SLE (towards CTE) after Upper Thomson Rd Exit.,YS,YISHUN,NR,NORTH REGION,expressway
25069.9991150454,43684.0780520283,Accident,1/2/2018,Accident on SLE (towards CTE) after Mandai Ave Exit.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway
24307.8067949322,31060.5999623729,Accident,1/2/2018,Accident on Queensway (towards AYE) after Commonwealth Avenue with congestion till PIE. Avoid left lane.,QT,QUEENSTOWN,CR,CENTRAL REGION,non_expressway
37070.3714961703,34706.3199531917,Accident,1/2/2018,Accident on PIE (towards Tuas) after Bedok North Rd with congestion till Tampines. Avoid lane 1.,BD,BEDOK,ER,EAST REGION,expressway
36296.0827690261,39099.2070401866,Accident,1/2/2018,Accident on KPE (towards TPE) after Buangkok Dr Exit.,PL,PAYA LEBAR,ER,EAST REGION,expressway
30861.5409702471,36614.0590532348,Accident,1/2/2018,Accident on CTE (towards AYE) before PIE(Changi) Exit. Avoid lanes 1 and 2.,SG,SERANGOON,NER,NORTH-EAST REGION,expressway
34468.9181285541,42499.1089476562,Accident,1/2/2018,Accident on TPE (towards SLE) after Punggol Rd Exit.,SE,SENGKANG,NER,NORTH-EAST REGION,expressway
21188.0062680242,43532.8979922116,Accident,1/2/2018,Accident on Mandai Road near BKE/Mandai Road Junction.,MD,MANDAI,NR,NORTH REGION,expressway
31200.3398882942,35494.2889684774,Accident,31/1/2018,Accident on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 1.,TP,TOA PAYOH,CR,CENTRAL REGION,expressway
25905.2993448281,35074.550951377,Accident,31/1/2018,Accident on PIE (towards Tuas) after Adam Rd Exit. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
31010.8946604994,34233.5699971215,Accident,31/1/2018,Accident on CTE (towards SLE) after Jalan Bahagia Exit. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway
25977.6519477602,29380.1799872212,Accident,31/1/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit with congestion till Lower Delta Rd Exit.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway
25899.8350674361,35079.7109701627,Accident,31/1/2018,Accident on PIE (towards Changi Airport) after Lornie Rd with congestion till Eng Neo Ave. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
30515.36996693,33717.4689570229,Accident,31/1/2018,Accident on CTE (towards AYE) after Balestier Rd Exit with congestion till Braddell Rd/Lor Chuan Exit. Avoid lanes 3 and 4.,KL,KALLANG,CR,CENTRAL REGION,expressway
33121.0619502236,32462.2110296603,Accident,31/1/2018,Accident on Guillemard Road (towards Lorong 12 Geylang) after Lorong 14 Geylang.,GL,GEYLANG,CR,CENTRAL REGION,non_expressway
26984.7502697,34520.1209517363,Accident,31/1/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway
26065.4444729081,34998.7189563566,Accident,31/1/2018,Accident on PIE (towards Changi Airport) after Lornie Rd.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
26080.6242931795,34987.5000326609,Accident,31/1/2018,Accident on PIE (towards Changi Airport) after Lornie Rd.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway
27456.3494726431,38892.7889694716,Accident,31/1/2018,Accident on Ang Mo Kio Avenue 1 near Ang Mo Kio Avenue 1/Upper Thomson Road Junction.,AM,ANG MO KIO,NER,NORTH-EAST REGION,non_expressway
