X,Y,Type,Latitude,Longitude,Date,Time,Descriptio,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,RoadType,join_osm_i,join_name,join_ref,join_type,join_onewa,join_bridg,join_maxsp,distance
25831.0361683469,35117.6289611088,Heavy Traffic,1.33387,103.81383,20/2/2018,6:18:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,4.891447942545581
26016.8428496359,34796.4999613856,Heavy Traffic,1.33096,103.81550,20/2/2018,6:16:00 PM,Heavy Traffic on Adam Road (towards Braddell) between Empress Road and Farrer F/O.,NOVENA,NV,CENTRAL REGION,CR,expressway,22514965,,,motorway_link,1,0,,19.678093755338974
20777.0103112432,46506.3399723377,Heavy Traffic,1.43686,103.76841,20/2/2018,6:00:00 PM,Heavy Traffic on BKE (towards Woodlands) at Woodlands Rd Exit.,SUNGEI KADUT,SK,NORTH REGION,NR,expressway,134996398,Woodlands Centre Road,Exit,motorway_link,1,0,,1.472774704241755
36200.0136848355,41782.1719870607,Heavy Traffic,1.39414,103.90700,20/2/2018,5:55:00 PM,Heavy Traffic on TPE (towards SLE) between Tampines Ave 12 Exit and Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,479744509,Tampines Expressway,TPE,motorway,1,0,90,3.012331873828892
28458.457285246,29699.5099675799,Heavy Traffic,1.28487,103.83744,20/2/2018,5:51:00 PM,Heavy Traffic in CTE Tunnel (towards AYE) at Outram Rd Exit.,OUTRAM,OT,CENTRAL REGION,CR,expressway,23135311,Outram Road,Exit,motorway_link,1,0,,0.168431475640989
31093.354994657,34721.2810135829,Heavy Traffic,1.33028,103.86111,20/2/2018,2:35:00 PM,Heavy Traffic on PIE (towards Tuas) at CTE(SLE) Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,37635204,Whampoa Flyover,,motorway_link,1,1,50,0.699326335781085
12267.8722332718,36594.3519586248,Heavy Traffic,1.34722,103.69196,20/2/2018,8:58:00 AM,Heavy Traffic on PIE (towards Tuas) at Pioneer Rd North Exit.,JURONG WEST,JW,WEST REGION,WR,expressway,44786137,,,motorway_link,1,0,,7.379505991272235
28986.111784664,30177.7890522599,Heavy Traffic,1.28919,103.84218,20/2/2018,8:45:00 AM,Heavy Traffic in CTE Tunnel (towards AYE) at Havelock Road Exit.,SINGAPORE RIVER,SR,CENTRAL REGION,CR,expressway,45070963,Chin Swee Tunnel,CTE,motorway_link,1,0,,5.015062673657843
30683.5112866575,37814.0120071282,Heavy Traffic,1.35825,103.85743,20/2/2018,7:56:00 AM,Heavy Traffic on CTE (towards AYE) between AMK Ave 5 Exit and AMK Ave 1 Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,37523738,Central Expressway,CTE,motorway,1,0,90,4.012259325640075
18993.9434036655,41223.0900093255,Heavy Traffic,1.38908,103.75239,20/2/2018,7:48:00 AM,Heavy Traffic on KJE (towards PIE) after Woodlands Rd Exit,CHOA CHU KANG,CK,WEST REGION,WR,expressway,176204444,Kranji Expressway,KJE,motorway,1,1,90,6.580438313930376
30679.8729912455,37729.9879771844,Heavy Traffic,1.35749,103.85740,20/2/2018,7:46:00 AM,Heavy Traffic on CTE (towards AYE) at Ang Mo Kio Ave 1 Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,22718052,,,motorway_link,1,0,42,5.101478693471825
40278.976321695,38968.1289847935,Heavy Traffic,1.36869,103.94365,20/2/2018,7:44:00 AM,Heavy Traffic on TPE (towards PIE) between Punggol Rd Exit and Pasir Ris Dr 8 Exit.,PASIR RIS,PR,EAST REGION,ER,expressway,176204510,Tampines Expressway,TPE,motorway,1,0,90,5.863808938061029
30939.1889173449,36460.5780506409,Heavy Traffic,1.34601,103.85973,20/2/2018,7:36:00 AM,Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,37553782,Braddell Road,Exit 10,motorway_link,1,0,50,0.476222758143811
27160.8547751896,34379.8520393017,Heavy Traffic,1.32719,103.82578,20/2/2018,7:14:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Stevens Rd Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,22964812,Pan-Island Expressway,,motorway_link,1,0,,0.765374314689736
25842.3654389338,35117.1210011263,Heavy Traffic,1.33386,103.81393,20/2/2018,7:05:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,3.479831043223764
29509.9337989825,33146.378947655,Heavy Traffic,1.31604,103.84689,19/2/2018,11:54:00 AM,Heavy Traffic in CTE Tunnel (towards AYE) between PIE(Jurong) Exit and Bukit Timah Rd Exit.,KALLANG,KL,CENTRAL REGION,CR,expressway,23194137,Central Expressway,CTE,motorway,1,0,90,7.251565396902473
35915.5030459975,41974.4799596041,Heavy Traffic,1.39588,103.90445,18/2/2018,5:47:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,479744511,Punggol Interchange,,motorway_link,1,0,50,3.036547634976287
30467.8939558611,33678.5899614562,Heavy Traffic,1.32085,103.85549,18/2/2018,12:16:00 PM,Heavy Traffic on CTE (towards AYE) between PIE(Changi) Exit and Balestier Rd Exit.,KALLANG,KL,CENTRAL REGION,CR,expressway,23149286,Central Expressway,CTE,motorway,1,0,90,7.985868897895693
31248.912041072,35033.8790177818,Heavy Traffic,1.33311,103.86251,18/2/2018,12:00:00 PM,Heavy Traffic on CTE (towards AYE) at PIE(Changi) Exit.,TOA PAYOH,TP,CENTRAL REGION,CR,expressway,176296745,,,motorway_link,1,0,,2.113773714735487
25996.6682137445,35094.6990015435,Heavy Traffic,1.33366,103.81532,17/2/2018,4:31:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,3.574724370000508
36068.9814091106,41884.0900055958,Heavy Traffic,1.39506,103.90582,17/2/2018,4:26:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,32776625,Punggol Interchange,,motorway_link,1,0,50,2.464501700158274
25852.6041020633,35120.4299845816,Heavy Traffic,1.33389,103.81402,17/2/2018,11:32:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,1.775331761077261
35902.7828363839,41978.8709516756,Heavy Traffic,1.39592,103.90433,16/2/2018,4:13:00 PM,Heavy Traffic on TPE (towards SLE) at Punggol Rd Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,479744511,Punggol Interchange,,motorway_link,1,0,50,0.526669787114175
37103.3195996085,40771.9610145072,Heavy Traffic,1.38500,103.91512,16/2/2018,4:02:00 PM,Heavy Traffic on TPE (towards PIE) before KPE Exit,PASIR RIS,PR,EAST REGION,ER,expressway,360771246,Tampines Expressway,TPE,motorway,1,0,90,7.409771001132892
25827.6752162593,35116.60196824,Heavy Traffic,1.33386,103.81380,16/2/2018,1:31:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,6.471006546408876
32764.8568771632,33594.4609808003,Heavy Traffic,1.32009,103.87613,16/2/2018,12:15:00 PM,Heavy Traffic on PIE (towards Tuas) between Jalan Eunos and KPE Exit.,GEYLANG,GL,CENTRAL REGION,CR,expressway,49331425,,,motorway_link,1,0,,0.476093313476412
27823.5744780189,34241.6090035364,Heavy Traffic,1.32594,103.83173,16/2/2018,12:10:00 PM,Heavy Traffic on PIE (towards Changi Airport) between Eng Neo Ave and Stevens Rd Exit.,NOVENA,NV,CENTRAL REGION,CR,expressway,75092700,Pan-Island Expressway,PIE,motorway,1,0,80,9.857371912260904
