X,Y,Type,Date,Time,Descriptions
22470.1244795578,32301.5799988571,Roadwork,22/2/2018,11:09:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Ghim Moh Link. Avoid right lane.
33034.3709449154,37079.55903345,Roadwork,22/2/2018,11:08:00 AM,Roadworks on Upper Paya Lebar Road (towards Lorong Ah Soo) after Jalan Chermat. Avoid right lane.
34054.3164367548,38289.2380401939,Roadwork,22/2/2018,11:05:00 AM,Roadworks on Upper Serangoon Road (towards City) after Hougang Avenue 3. Avoid right lane.
37644.9580038417,32229.4099572614,Roadwork,22/2/2018,11:05:00 AM,Roadworks on Marine Parade Road (towards Marine Terrace) after Marine Vista.
34846.759744675,39004.2890406036,Roadwork,22/2/2018,11:04:00 AM,Roadworks on Hougang Avenue 5 (towards Hougang Central) after Upper Serangoon Road. Avoid right lane.
29712.1663735534,37380.3400373822,Roadwork,22/2/2018,11:03:00 AM,Roadworks on Bishan Road (towards Bishan Street 22) after Ang Mo Kio Avenue 1. Avoid left lane.
33496.5835276453,37774.9490489093,Roadwork,22/2/2018,11:03:00 AM,Roadworks on Upper Serangoon Road (towards City) after Hougang Street 21.
22200.7709392724,32462.9390141286,Roadwork,22/2/2018,11:01:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Road. Avoid right lane.
29838.6673548834,30812.8590195645,Roadwork,22/2/2018,11:00:00 AM,Roadworks on Stamford Road (towards Fort Canning Link) after Victoria Street. Avoid right lane.
35281.6050947046,39461.7500309704,Roadwork,22/2/2018,11:00:00 AM,Roadworks on Upper Serangoon Road (towards Sengkang) after Hougang Central. Avoid left lane.
30116.9921455035,38497.4690285811,Roadwork,22/2/2018,10:59:00 AM,Roadworks on Ang Mo Kio Avenue 8 (towards Ang Mo Kio Avenue 1) after Ang Mo Kio Street 41. Avoid left lane.
35365.1248193861,39525.9610131653,Roadwork,22/2/2018,10:59:00 AM,Roadworks on Upper Serangoon Road (towards City) after Buangkok East Drive. Avoid right lane.
43857.4988537318,35655.8790065781,Roadwork,22/2/2018,10:58:00 AM,Roadworks on PIE (towards Changi Airport) before ECP. Avoid lane 4.
31294.8189909356,30327.6410405856,Roadwork,22/2/2018,10:57:00 AM,Roadworks on Raffles Avenue (towards Bayfront Avenue) after Raffles Boulevard. Avoid right lane.
18454.5911762011,35623.3280237337,Roadwork,22/2/2018,10:56:00 AM,Roadworks on Toh Guan Road near PIE/Toh Guan Road Junction.
